pair,pair_name,model,relation,source,target,score_a,score_b,abs_diff
1,단순문장 1,RoPE,주어→서술어,cheolsu,like,0.033277,0.092651,0.059374
1,단순문장 1,RoPE,목적어→서술어,younghee,like,0.535215,0.187045,0.348171
1,단순문장 1,Additive K-RoPE,주어→서술어,cheolsu,like,0.025411,0.014687,0.010724
1,단순문장 1,Additive K-RoPE,목적어→서술어,younghee,like,0.351725,0.069761,0.281964
1,단순문장 1,Dual-axis K-RoPE,주어→서술어,cheolsu,like,0.041189,0.081480,0.040291
1,단순문장 1,Dual-axis K-RoPE,목적어→서술어,younghee,like,0.537232,0.345192,0.192039
2,단순문장 2,RoPE,주어→서술어,student,read,0.033277,0.092651,0.059374
2,단순문장 2,RoPE,목적어→서술어,book,read,0.535215,0.187045,0.348171
2,단순문장 2,Additive K-RoPE,주어→서술어,student,read,0.025411,0.014687,0.010724
2,단순문장 2,Additive K-RoPE,목적어→서술어,book,read,0.351725,0.069761,0.281964
2,단순문장 2,Dual-axis K-RoPE,주어→서술어,student,read,0.041189,0.081480,0.040291
2,단순문장 2,Dual-axis K-RoPE,목적어→서술어,book,read,0.537232,0.345192,0.192039
3,단순문장 3,RoPE,주어→서술어,cat,eat,0.033277,0.092651,0.059374
3,단순문장 3,RoPE,목적어→서술어,fish,eat,0.535215,0.187045,0.348171
3,단순문장 3,Additive K-RoPE,주어→서술어,cat,eat,0.025411,0.014687,0.010724
3,단순문장 3,Additive K-RoPE,목적어→서술어,fish,eat,0.351725,0.069761,0.281964
3,단순문장 3,Dual-axis K-RoPE,주어→서술어,cat,eat,0.041189,0.081480,0.040291
3,단순문장 3,Dual-axis K-RoPE,목적어→서술어,fish,eat,0.537232,0.345192,0.192039
4,복잡문장 1: 관형어와 부사어,RoPE,주어→서술어,minsu,read,0.131990,0.075844,0.056146
4,복잡문장 1: 관형어와 부사어,RoPE,목적어→서술어,book,read,0.454063,0.163462,0.290601
4,복잡문장 1: 관형어와 부사어,RoPE,부사어(장소)→관형어,library,borrowed,0.249058,0.244144,0.004915
4,복잡문장 1: 관형어와 부사어,RoPE,관형어→체언,borrowed,book,0.147341,0.130289,0.017052
4,복잡문장 1: 관형어와 부사어,Additive K-RoPE,주어→서술어,minsu,read,0.366291,0.009784,0.356507
4,복잡문장 1: 관형어와 부사어,Additive K-RoPE,목적어→서술어,book,read,0.182671,0.041042,0.141630
4,복잡문장 1: 관형어와 부사어,Additive K-RoPE,부사어(장소)→관형어,library,borrowed,0.125196,0.151682,0.026485
4,복잡문장 1: 관형어와 부사어,Additive K-RoPE,관형어→체언,borrowed,book,0.283550,0.305883,0.022333
4,복잡문장 1: 관형어와 부사어,Dual-axis K-RoPE,주어→서술어,minsu,read,0.074275,0.064753,0.009522
4,복잡문장 1: 관형어와 부사어,Dual-axis K-RoPE,목적어→서술어,book,read,0.449314,0.283619,0.165695
4,복잡문장 1: 관형어와 부사어,Dual-axis K-RoPE,부사어(장소)→관형어,library,borrowed,0.206015,0.202527,0.003488
4,복잡문장 1: 관형어와 부사어,Dual-axis K-RoPE,관형어→체언,borrowed,book,0.205163,0.206688,0.001525
5,복잡문장 2: 안긴문장과 부사어,RoPE,주어→서술어,cheolsu,eat,0.014959,0.327312,0.312353
5,복잡문장 2: 안긴문장과 부사어,RoPE,목적어→서술어,cake,eat,0.031141,0.188752,0.157612
5,복잡문장 2: 안긴문장과 부사어,RoPE,안긴문장의 주어→관형어,younghee,made,0.043025,0.049907,0.006882
5,복잡문장 2: 안긴문장과 부사어,RoPE,관형어→체언,made,cake,0.121346,0.139872,0.018526
5,복잡문장 2: 안긴문장과 부사어,RoPE,부사어→서술어,deliciously,eat,0.307905,0.262716,0.045189
5,복잡문장 2: 안긴문장과 부사어,Additive K-RoPE,주어→서술어,cheolsu,eat,0.011917,0.179237,0.167321
5,복잡문장 2: 안긴문장과 부사어,Additive K-RoPE,목적어→서술어,cake,eat,0.007937,0.030633,0.022696
5,복잡문장 2: 안긴문장과 부사어,Additive K-RoPE,안긴문장의 주어→관형어,younghee,made,0.154536,0.116851,0.037684
5,복잡문장 2: 안긴문장과 부사어,Additive K-RoPE,관형어→체언,made,cake,0.258403,0.260650,0.002248
5,복잡문장 2: 안긴문장과 부사어,Additive K-RoPE,부사어→서술어,deliciously,eat,0.339031,0.322851,0.016179
5,복잡문장 2: 안긴문장과 부사어,Dual-axis K-RoPE,주어→서술어,cheolsu,eat,0.026414,0.131650,0.105236
5,복잡문장 2: 안긴문장과 부사어,Dual-axis K-RoPE,목적어→서술어,cake,eat,0.125144,0.281869,0.156725
5,복잡문장 2: 안긴문장과 부사어,Dual-axis K-RoPE,안긴문장의 주어→관형어,younghee,made,0.054889,0.051619,0.003269
5,복잡문장 2: 안긴문장과 부사어,Dual-axis K-RoPE,관형어→체언,made,cake,0.187956,0.194402,0.006447
5,복잡문장 2: 안긴문장과 부사어,Dual-axis K-RoPE,부사어→서술어,deliciously,eat,0.198038,0.186882,0.011155
6,복잡문장 3: 안긴문장의 목적어 이동,RoPE,주어→서술어,teacher,praise,0.077500,0.113901,0.036401
6,복잡문장 3: 안긴문장의 목적어 이동,RoPE,목적어→서술어,friend,praise,0.166070,0.461095,0.295025
6,복잡문장 3: 안긴문장의 목적어 이동,RoPE,안긴문장의 주어→관형어,i,met,0.068721,0.056848,0.011873
6,복잡문장 3: 안긴문장의 목적어 이동,RoPE,관형어→체언,met,friend,0.138583,0.158037,0.019454
6,복잡문장 3: 안긴문장의 목적어 이동,Additive K-RoPE,주어→서술어,teacher,praise,0.010020,0.320168,0.310148
6,복잡문장 3: 안긴문장의 목적어 이동,Additive K-RoPE,목적어→서술어,friend,praise,0.034301,0.157476,0.123175
6,복잡문장 3: 안긴문장의 목적어 이동,Additive K-RoPE,안긴문장의 주어→관형어,i,met,0.151615,0.103351,0.048264
6,복잡문장 3: 안긴문장의 목적어 이동,Additive K-RoPE,관형어→체언,met,friend,0.275586,0.257326,0.018260
6,복잡문장 3: 안긴문장의 목적어 이동,Dual-axis K-RoPE,주어→서술어,teacher,praise,0.066471,0.066631,0.000160
6,복잡문장 3: 안긴문장의 목적어 이동,Dual-axis K-RoPE,목적어→서술어,friend,praise,0.289875,0.457876,0.168001
6,복잡문장 3: 안긴문장의 목적어 이동,Dual-axis K-RoPE,안긴문장의 주어→관형어,i,met,0.067389,0.056843,0.010546
6,복잡문장 3: 안긴문장의 목적어 이동,Dual-axis K-RoPE,관형어→체언,met,friend,0.217695,0.216004,0.001691
